"Sample Date","Facility","Species","Salvage","Acrefeet"
2022-05-19,CVP,26,0,1812
2022-12-23,SWP,26,0,1034
2023-03-22,SWP,26,0,13328
2022-02-25,SWP,26,0,383
2022-08-10,SWP,26,0,1941
2023-02-02,SWP,26,0,12070
2022-07-12,SWP,26,0,1272
2022-09-25,SWP,26,0,2835
2022-04-27,SWP,26,0,1049
2023-04-09,CVP,26,0,2845
2023-03-16,CVP,26,0,8512
2022-02-13,CVP,26,0,3361
2022-12-01,CVP,26,0,1622
2022-12-06,SWP,26,0,827
2022-12-08,SWP,26,0,1045
2022-07-29,CVP,26,0,5395
2023-01-26,CVP,26,0,7288
2022-06-29,SWP,26,NS,0
2022-08-11,SWP,26,0,364
2022-02-27,SWP,26,0,395
2022-12-12,SWP,26,0,1016
2022-02-10,CVP,26,0,3574
2023-04-10,SWP,26,0,8152
2023-04-19,CVP,26,0,3355
2022-07-20,CVP,26,0,5334
2022-03-04,CVP,26,0,1712
2023-03-14,SWP,26,0,19184
2022-08-31,CVP,26,0,5380
2022-11-04,CVP,26,0,1818
2022-08-27,CVP,26,0,5398
2022-12-14,SWP,26,0,7912
2023-01-16,CVP,26,0,7305
2022-02-27,CVP,26,0,1217
2022-05-25,SWP,26,0,541
2023-04-14,SWP,26,0,7297
2022-10-23,CVP,26,0,1830
2022-10-15,CVP,26,0,1830
2022-07-09,CVP,26,0,3593
2022-03-31,SWP,26,NS,0
2023-04-30,CVP,26,0,5381
2023-03-06,CVP,26,0,8397
2022-09-03,SWP,26,0,1446
2021-11-07,SWP,26,0,6366
2021-12-26,CVP,26,0,3374
2022-12-07,SWP,26,NS,0
2022-04-03,SWP,26,0,821
2021-12-17,SWP,26,0,9935
2022-10-11,CVP,26,0,1796
2022-02-24,CVP,26,0,1579
2023-03-13,SWP,26,0,19184
2023-04-04,SWP,26,0,11951
2023-01-04,SWP,26,0,6219
2022-10-28,SWP,26,0,317
2022-11-17,SWP,26,0,1034
2022-11-05,SWP,26,0,818
2022-05-09,SWP,26,0,818
2021-12-28,CVP,26,0,3403
2023-04-15,CVP,26,0,3360
2021-11-20,CVP,26,0,5432
2022-12-30,CVP,26,0,6308
2021-11-04,CVP,26,0,8463
2022-12-18,SWP,26,0,4004
2022-09-26,CVP,26,0,5367
2022-12-20,CVP,26,0,3564
2021-11-15,SWP,26,0,5168
2022-07-11,CVP,26,0,5371
2021-12-12,SWP,26,NS,0
2021-12-11,CVP,26,0,1659
2022-12-25,SWP,26,0,2829
2023-04-26,SWP,26,0,7852
2022-11-21,SWP,26,0,1033
2022-03-05,SWP,26,0,399
2022-04-01,CVP,26,0,1785
2022-05-04,SWP,26,0,415
2022-09-01,SWP,26,0,1314
2022-10-14,SWP,26,0,901
2022-06-19,CVP,26,0,1784
2022-09-01,CVP,26,0,5426
2022-04-20,SWP,26,0,1022
2023-02-27,CVP,26,0,6957
2021-12-24,SWP,26,0,1034
2022-11-06,CVP,26,0,1870
2022-12-24,SWP,26,0,2823
2021-11-28,SWP,26,NS,0
2022-02-11,SWP,26,0,1010
2022-08-30,CVP,26,0,5367
2023-04-23,SWP,26,0,5168
2022-09-05,CVP,26,0,3589
2022-06-09,CVP,26,0,1798
2021-11-22,SWP,26,NS,0
2023-02-28,CVP,26,0,6963
2023-04-20,SWP,26,0,11379
2021-11-18,CVP,26,0,5364
2022-07-25,CVP,26,0,5394
2022-11-08,CVP,26,0,1796
